Key,Seconds
Shift,0.000
I,0.096
 ,0.272
o,0.336
n,0.464
c,0.543
e,0.656
 ,0.720
h,0.823
a,0.895
d,0.984
 ,1.088
a,1.167
 ,1.295
d,1.407
r,1.567
e,1.632
a,1.696
m,1.815
 ,1.888
t,2.104
h,2.215
a,2.248
t,2.327
 ,2.415
s,2.488
o,2.583
m,2.664
e,3.032
d,3.224
a,3.376
y,3.496
,,3.607
 ,3.743
w,3.815
e,3.896
 ,3.975
c,4.103
o,4.184
u,4.263
l,4.408
d,4.471
 ,4.519
a,4.599
l,4.679
l,4.807
 ,4.872
b,5.031
e,5.192
 ,5.239
h,5.447
a,5.559
p,5.879
p,6.040
y,6.183
.,6.343
 ,6.455
Shift,6.647
A,6.727
l,6.855
a,6.936
s,7.063
,,7.191
 ,7.319
p,7.696
e,7.792
r,7.888
h,7.984
a,8.104
p,8.232
s,8.359
 ,8.447
t,8.520
h,8.584
a,8.648
t,8.711
 ,8.791
i,8.967
s,9.063
 ,9.111
n,9.191
o,9.303
t,9.415
 ,9.479
m,9.591
e,9.656
a,9.752
n,9.799
t,9.879
 ,9.975
t,10.040
o,10.103
 ,10.167
b,10.264
e,10.456
.,10.599