Shift,3.373,7.1
I,3.496,10.3
 ,3.622,13.3
w,3.697,16.2
Backspace,3.957,18.2
a,4.023,20.9
m,4.121,23.3
 ,4.229,25.5
g,4.298,27.9
o,4.399,30.0
i,4.538,31.7
n,4.591,34.0
g,4.665,36.0
 ,4.731,38.0
t,4.798,40.0
o,4.837,42.2
 ,4.923,43.9
p,5.040,45.2
a,5.102,47.0
s,5.246,48.0
s,5.367,49.2
 ,5.460,50.5
Shift,5.741,50.2
C,5.798,51.7
S,5.948,52.5
E,6.136,52.8
 ,6.335,53.0
2,6.525,53.3
1,6.571,54.8
Backspace,6.903,53.9
Backspace,7.038,54.6
1,7.082,55.9
2,7.159,57.0
5,7.328,57.3
 ,7.531,57.4
g,7.778,57.1
o,7.887,57.8
d,8.012,58.4
d,8.140,59.0
a,8.586,57.3
m,8.694,58.0
n,8.836,58.4
 ,8.975,58.8
i,9.085,59.4
t,9.196,60.0
.,9.390,60.1